partner_id,journal_id,move_name,product_id,quantity,analytic_distribution,price_unit,move_id
960,2,,24548,1,{'235': 100},5990.0,24554
960,2,,24549,1,{'235': 100},5990.0,24554
1189,2,,24550,1,{'235': 100},33000.0,24555
841,2,,24552,1,{'277': 100},162.93,24556
1189,2,,24551,1,{'235': 100},33000.0,24555
667,2,,24553,1,{'275': 100},85300.0,24557
983,2,,24555,1,{'280': 100},100000.0,24558
841,2,,24554,1,{'277': 100},162.93,24556
717,2,,24556,1,{'241': 100},11900.3,24559
1158,2,JY6bftqeGgszBE8al3G3,24558,1,{'270': 1233.0},1233.0,24560
964,2,r5sr3SrzaMAqPdjQXw5b,24558,1,{'222': 46000.0},46000.0,24561
964,2,7jaErHf8Cw01lZITm8DS,24558,6,{'222': 3200.0},3200.0,24561
964,2,7WDmp7M0utp5C1zP6KrJ,24558,6,{'222': 2800.0},2800.0,24561
667,2,,24557,1,{'275': 100},85300.0,24557
1194,2,,24559,1,{'218': 100},35383.86,24562
983,2,,24560,1,{'280': 100},100000.0,24558
1115,2,,24561,1,{'223': 100},55660.0,24563
648,2,82yT4I43f0hz8GKGiuNn,24558,2.045,{'235': 5056.0},5056.0,24564
648,2,8HDvSUNvziymF3SLnKC7,24558,1.525,{'235': 7013.0},7013.0,24564
818,2,,24553,1,{'280': 100},56270.0,24565
717,2,,24562,1,{'241': 100},11900.3,24559
642,2,,24563,1,{'235': 100},1620.01,24566
1140,2,,24564,1,{'235': 100},21760.01,24567
1158,2,JY6bftqeGgszBE8al3G3,24565,1,{'270': 1233.0},1233.0,24560
964,2,r5sr3SrzaMAqPdjQXw5b,24565,1,{'222': 46000.0},46000.0,24561
964,2,7jaErHf8Cw01lZITm8DS,24565,6,{'222': 3200.0},3200.0,24561
964,2,7WDmp7M0utp5C1zP6KrJ,24565,6,{'222': 2800.0},2800.0,24561
657,2,,24566,1,{'235': 100},30900.0,24568
978,2,,24568,1,{'235': 100},812215.0,24569
1194,2,,24567,1,{'218': 100},35383.86,24562
982,2,,24569,1,{'235': 100},29460.0,24570
1036,2,,24552,1,{'235': 100},40933.89,24571
1115,2,,24570,1,{'223': 100},55660.0,24563
